,insee,commune_name,chloropleth_vcub_index,chloropleth_trafic_index,chloropleth_transport_index,sum_for_chloropleth_map
0,33013,Artigues-Près-Bordeaux,2.0,1.0,0.0,3.0
1,33039,Bègles,1.0,1.0,0.0,2.0
2,33056,Blanquefort,1.0,0.0,0.0,1.0
3,33063,Bordeaux,1.0,1.0,0.0,2.0
4,33069,Le Bouscat,1.0,1.0,0.0,2.0
5,33075,Bruges,2.0,1.0,0.0,3.0
6,33119,Cenon,1.0,1.0,0.0,2.0
7,33162,Eysines,1.0,1.0,0.0,2.0
8,33167,Floirac,2.0,1.0,0.0,3.0
9,33192,Gradignan,1.0,1.0,0.0,2.0
10,33200,Le Haillan,2.0,1.0,2.0,5.0
11,33249,Lormont,2.0,1.0,0.0,3.0
12,33281,Mérignac,1.0,1.0,0.0,2.0
13,33312,Parempuyre,1.0,0.0,0.0,1.0
14,33318,Pessac,1.0,1.0,0.0,2.0
15,33376,Saint-Aubin-de-Médoc,2.0,0.0,0.0,2.0
16,33449,Saint-Médard-en-Jalles,1.0,1.0,0.0,2.0
17,33519,Le Taillan-Médoc,2.0,0.0,0.0,2.0
18,33522,Talence,1.0,1.0,0.0,2.0
19,33550,Villenave-d'Ornon,1.0,1.0,0.0,2.0
20,33065,Bouliac,0.0,1.0,0.0,1.0
