index,capacity,lat,lon,name,post_code,station_id
0,26,44.83803,-0.58437,Meriadeck,33063,1
1,20,44.83784,-0.59028,St Bruno,33063,2
2,25,44.840813,-0.593233,Piscine Judaique,33063,3
3,20,44.84221,-0.58482,St Seurin,33063,4
4,40,44.840712,-0.581124,Place Gambetta,33063,5
5,40,44.83779,-0.58166,Square Andre Lhote,33063,6
6,18,44.83594,-0.58211,Palais de Justice,33063,7
7,20,44.83436,-0.58825,Patinoire,33063,8
8,20,44.83303,-0.59289,Gavinies,33063,9
9,22,44.83176,-0.59868,Stade Chaban Delmas,33063,10
10,30,44.84166,-0.5997,Cite Administrative,33063,11
11,16,44.85115,-0.60861,Grand Lebrun,33063,12
12,20,44.84837,-0.5981,Barriere St Medard,33063,13
13,30,44.84819,-0.59197,Dubreuil Turenne,33063,14
14,14,44.84521,-0.59206,Rue de la Croix Blanche,33063,15
15,30,44.84947,-0.54525,Galin,33063,16
16,14,44.8469,-0.58219,Palais Gallien,33063,17
17,14,44.84423,-0.58164,Huguerie,33063,18
18,29,44.84465,-0.57745,Place Tourny,33063,19
19,31,44.84314,-0.57724,Grands Hommes,33063,20
20,15,44.84122,-0.5756,Puy Paulin,33063,21
21,33,44.83826,-0.57648,Hotel de Ville,33063,22
22,40,44.83483,-0.58019,Republique,33063,23
23,16,44.83325,-0.58308,Liberation,33063,24
24,15,44.831,-0.58734,Francois de Sourdis,33063,25
25,16,44.82797,-0.59349,Xaintrailles,33063,26
26,19,44.82654,-0.60184,Bordeaux II,33063,27
27,32,44.82986,-0.60351,Hopital Pellegrin,33063,28
28,20,44.832736,-0.60997,St Augustin,33063,29
29,18,44.83838,-0.61689,Place Mondesir,33281,30
30,15,44.85175,-0.61438,Cauderan,33063,31
31,16,44.85261,-0.59923,Parc Bordelais,33063,32
32,21,44.854092,-0.593128,Barriere du Medoc,33063,33
33,14,44.85379,-0.58864,Tivoli,33063,34
34,17,44.85005,-0.58547,Croix de Seguey,33063,35
35,16,44.85005,-0.582,Place de Longchamps,33063,36
36,30,44.84849,-0.57581,Jardin Public,33063,37
37,16,44.84641,-0.5802,Fondaudege Museum,33063,38
38,40,44.84423,-0.57434,Quinconces,33063,39
39,20,44.84293,-0.5739,Grand Theatre,33063,40
40,18,44.83889,-0.57466,Place St Projet,33063,41
41,17,44.83924,-0.57203,Camille Jullian,33063,42
42,18,44.83707,-0.57279,St Paul,33063,43
43,20,44.83606,-0.57544,Musee d'Aquitaine,33063,44
44,20,44.83312,-0.57695,Place Ste Eulalie,33063,45
45,21,44.822803,-0.55293,Belcier Tram,33063,46
46,16,44.82789,-0.58605,Magendie,33063,47
47,17,44.82578,-0.58975,Barriere de Pessac,33063,48
48,18,44.86329,-0.59995,Emile Zola,33069,49
49,14,44.85999,-0.58876,Mandron Godard,33063,50
50,20,44.862559,-0.583247,Place Ampere,33063,51
51,18,44.858902,-0.581327,Place de l'Europe,33063,52
52,14,44.85417,-0.58659,Parc Riviere,33063,53
53,43,44.82642,-0.55732,Rue St Vincent de Paul,33063,54
54,16,44.85462,-0.57435,Camille Godard,33063,55
55,18,44.85171,-0.57427,Place Paul Doumer,33063,56
56,16,44.85155,-0.57163,Eglise St Louis,33063,57
57,18,44.85321,-0.56727,Chartrons,33063,58
58,17,44.84978,-0.57024,CAPC,33063,59
59,20,44.84718,-0.57131,Allees de Chartres,33063,60
60,16,44.84625,-0.56495,Parc aux Angeliques,33063,61
61,30,44.856476,-0.533983,Cenon Gare,33119,62
62,18,44.83028,-0.52697,Francois Mitterrand,33167,63
63,18,44.8396,-0.55645,La Benauge,33063,64
64,40,44.84034,-0.55955,Stalingrad,33063,65
65,20,44.84114,-0.56224,Gare d'Orleans,33063,66
66,18,44.84377,-0.55751,Allee de Serr Abadie,33063,67
67,18,44.84298,-0.55573,Jardin Botanique,33063,68
68,13,44.84299,-0.55036,Cours Le Rouzic,33063,69
69,20,44.86428,-0.5242,Buttiniere,33249,70
70,18,44.8875,-0.51763,La Gardette,33249,71
71,23,44.85418,-0.51282,Jean Zay,33119,72
72,20,44.815083,-0.550901,Terres Neuves,33039,73
73,22,44.8077,-0.54821,Place du 14 juillet,33039,74
74,18,44.807735,-0.560024,Begles Poste,33039,75
75,18,44.781742,-0.566207,Pont de la Maye,33550,76
76,20,44.773678,-0.613335,Place Bernard Roumegoux,33192,77
77,19,44.793914,-0.635051,Bougnard,33318,78
78,20,44.7862,-0.63874,Pessac Bersol,33318,79
79,18,44.79319,-0.657632,Gare Pessac Alouette,33318,80
80,18,44.79588,-0.66733,Castaing,33318,81
81,20,44.792915,-0.646629,La Chataigneraie,33318,82
82,21,44.80446,-0.63267,Pessac Centre,33318,83
83,18,44.81535,-0.63444,Le Burck,33281,84
84,18,44.83242,-0.64594,Merignac Quatre Chemins,33281,85
85,20,44.831917,-0.654779,Merignac Soleil,33281,86
86,20,44.83628,-0.68713,Kennedy Parc Hotelier,33281,87
87,18,44.85097,-0.64475,Merignac Capeyron,33281,88
88,21,44.8416,-0.646465,Merignac Centre,33281,89
89,17,44.8265,-0.62577,Fontaine d'Arlac,33281,90
90,16,44.87369,-0.67753,Mairie du Haillan,33200,91
91,16,44.89539,-0.71487,St Medard Republique,33449,92
92,16,44.869026,-0.636207,Place Florale,33162,93
93,18,44.9173,-0.62382,Gare de Blanquefort,33056,94
94,16,44.88145,-0.61337,Bruges Hotel de Ville,33075,95
95,25,44.87389,-0.57401,Les Aubiers,33063,96
96,20,44.87738,-0.54433,Claveau,33063,97
97,18,44.86007,-0.55447,Bassins a flot,33063,98
98,19,44.85787,-0.55808,Les Hangars,33063,99
99,39,44.8556,-0.56319,Cours du Medoc,33063,100
100,20,44.84295,-0.57037,Place Jean Jaures,33063,101
101,20,44.8403,-0.56914,Place de la Bourse,33063,102
102,19,44.83779,-0.57034,Place du Palais,33063,103
103,16,44.83518,-0.57205,Grosse Cloche,33063,104
104,17,44.83262,-0.57097,Rue du Mirail,33063,105
105,40,44.83064,-0.57321,Place de la Victoire,33063,106
106,15,44.82751,-0.57589,St Nicolas,33063,107
107,16,44.82471,-0.57815,Bergonie,33063,108
108,36,44.82209,-0.58178,Barriere St Genes,33063,109
109,39,44.81238,-0.59103,Forum,33522,110
110,39,44.80681,-0.59245,Peixotto,33522,111
111,37,44.80591,-0.60232,Arts et Metiers,33522,112
112,20,44.79688,-0.60187,Ecole de Management,33522,113
113,27,44.79313,-0.60547,Compostelle,33192,114
114,31,44.801376,-0.597153,CREPS,33522,115
115,38,44.79667,-0.61704,Montaigne Montesquieu,33318,116
116,19,44.80038,-0.60986,Doyen Brus,33318,117
117,20,44.86694,-0.57608,Place Ravezies,33069,118
118,20,44.8626,-0.57576,Grand Parc,33063,119
